name,manufacturer,serving_size,energy_kcal,protein_g,carbohydrate_g,fat_g,sugar_g,sodium_mg,fiber_g,energy_percentage_dv,protein_percentage_dv,carbohydrate_percentage_dv,fat_percentage_dv,sodium_percentage_dv,Lemak jenuh,Natrium,Protein,Karbohidrat total,Energi,Lemak total,Serat pangan,is_toddler_safe
Promina milky beras merah,PT. Indofood CBP Sukses Makmur Tbk.,8 g,210.0,8.0,35.0,4.5,0.0,150.0,0.0,9.77,13.33,10.77,6.72,10.0,0.0,10.0,14.0,11.0,0.0,0.0,0.0,True
Promina pisang susu,PT. Indofood CBP Sukses Makmur Tbk.,8 g,210.0,8.0,35.0,4.5,0.0,150.0,0.0,9.77,13.33,10.77,6.72,10.0,0.0,10.0,14.0,11.0,0.0,0.0,0.0,True
"Mangga indramayu, segar",Tidak Diketahui,0.10 g,72.0,0.8,18.7,0.2,0.0,3.0,2.5,3.35,1.33,5.75,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Maestro light Mayonnaise,PT. Lasallefood Indonesia,0 g,50.0,0.0,7.0,5.0,0.0,130.0,0.0,3.72,0.0,2.15,7.46,8.67,5.0,9.0,0.0,0.0,0.0,8.0,0.0,True
"Ikan Pindang banjar,mentah",Tidak Diketahui,7 g,157.0,28.0,1.8,4.2,0.0,0.0,0.0,7.3,46.67,0.55,6.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
"Ikan Pindang benggol, mentah",Tidak Diketahui,7.80 g,170.0,31.0,0.0,4.2,0.0,0.0,0.0,7.91,51.67,0.0,6.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
"Ikan Pindang layang, mentah",Tidak Diketahui,7.20 g,153.0,30.0,0.0,2.8,0.0,0.0,0.0,7.12,50.0,0.0,4.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
La Fonte Fettuccine-30 Pasta,Tidak Diketahui,2 g,0.0,8.0,45.0,0.0,3.0,40.0,2.0,10.23,13.33,13.85,0.0,2.67,0.0,0.0,14.0,14.0,11.0,0.0,0.0,True
"Daun jampang, segar",Tidak Diketahui,1.50 g,34.0,3.8,5.3,0.5,0.0,0.0,1.4,1.58,6.33,1.63,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
sambal pecel,Tidak Diketahui,9 g,220.0,9.0,23.0,10.0,0.0,0.0,0.0,10.23,15.0,7.08,14.93,0.0,0.0,0.0,15.0,0.0,11.0,15.0,0.0,False
