name,manufacturer,serving_size,energy_kcal,protein_g,carbohydrate_g,fat_g,sugar_g,sodium_mg,fiber_g,energy_percentage_dv,protein_percentage_dv,carbohydrate_percentage_dv,fat_percentage_dv,sodium_percentage_dv,Lemak jenuh,Natrium,Protein,Karbohidrat total,Energi,Lemak total,Serat pangan,is_toddler_safe
"Ikan sunu, asin, mentah",Tidak Diketahui,20.30 g,199.0,34.1,7.1,3.8,0.0,377.0,0.0,9.26,56.83,2.18,5.67,25.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
"Soto pekalongan, masakan",Tidak Diketahui,1.30 g,94.0,3.0,5.1,6.8,0.0,0.0,0.3,4.37,5.0,1.57,10.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Marie duo,Tidak Diketahui,1 g,15.0,1.0,14.0,3.5,5.0,85.0,1.0,4.19,1.67,4.31,5.22,5.67,10.0,6.0,0.0,0.0,0.0,0.0,0.0,True
"Kaparende, sayur",Tidak Diketahui,1.30 g,38.0,2.4,2.6,2.0,0.0,170.0,1.5,1.77,4.0,0.8,2.99,11.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Kacang lebui / iris,Tidak Diketahui,3.60 g,346.0,16.5,66.6,1.5,0.0,17.0,37.3,16.09,27.5,20.49,2.24,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
The coffe bean & tea leaf pure vanilla ice blended drink,Tidak Diketahui,15 g,410.0,15.0,70.0,9.0,63.0,0.0,0.0,19.07,25.0,21.54,13.43,0.0,0.0,0.0,25.0,22.0,20.0,0.0,0.0,False
Dairy queen banana split,Tidak Diketahui,4 g,520.0,9.0,92.0,14.0,72.0,0.0,4.0,24.19,15.0,28.31,20.9,0.0,0.0,0.0,0.0,29.0,25.0,21.0,0.0,False
"Gembili, ubi, segar",Tidak Diketahui,1 g,131.0,1.1,31.3,0.2,0.0,10.0,1.1,6.09,1.83,9.63,0.3,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Baked lotus paste mooncake with two egg yolks,Tidak Diketahui,0.85 g,223.0,4.05,20.5,13.79,0.0,0.0,0.85,10.37,6.75,6.31,20.58,0.0,0.0,0.0,7.0,0.0,11.0,21.0,0.0,True
Cumi-cumi,Tidak Diketahui,0.90 g,75.0,16.1,0.1,0.7,0.0,37.0,0.0,3.49,26.83,0.03,1.04,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
"Kunyit, segar",Tidak Diketahui,1.30 g,69.0,2.0,9.1,2.7,0.0,6.0,0.6,3.21,3.33,2.8,4.03,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
The coffe bean & tea leaf black forest ice blended drink,Tidak Diketahui,12 g,490.0,12.0,89.0,10.0,76.0,0.0,0.0,22.79,20.0,27.38,14.93,0.0,0.0,0.0,20.0,28.0,23.0,0.0,0.0,False
Coklat silverqueen almond,PT. Petra food indonesia,4 g,170.0,4.0,14.0,11.0,11.0,0.0,0.0,7.91,6.67,4.31,16.42,0.0,0.0,0.0,7.0,0.0,8.0,17.0,0.0,True
"Daun gedi besar, segar",Tidak Diketahui,2.40 g,58.0,2.9,10.0,0.7,0.0,30.0,3.3,2.7,4.83,3.08,1.04,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Kopi hitam tanpa gula,Tidak Diketahui,0.28 g,2.0,0.28,0.09,0.05,0.0,0.0,0.0,0.09,0.47,0.03,0.07,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,False
Tumis keumamah,Tidak Diketahui,4.30 g,300.0,14.5,15.5,20.0,0.0,0.0,4.5,13.95,24.17,4.77,29.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Regal Biskuit Marie,CV. JAYA ABADI,1 g,70.0,1.0,12.0,2.0,0.0,45.0,0.0,3.26,1.67,3.69,2.99,3.0,0.0,3.0,0.0,4.0,4.0,0.0,0.0,True
Teh hijau daun kering,Tidak Diketahui,5.60 g,300.0,28.3,53.6,4.8,0.0,60.0,9.6,13.95,47.17,16.49,7.16,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Susu ultra milk rasa coklat 200 ml,PT. Ultrajaya Milk Industy,6 g,160.0,6.0,24.0,4.0,0.0,45.0,0.0,7.44,10.0,7.38,5.97,3.0,15.0,0.0,10.0,0.0,8.0,0.0,0.0,True
Frisian flag putih (kental manis),PT. Frisian Flag Indonesia,1 g,140.0,1.0,23.0,4.0,19.0,0.0,0.0,6.51,1.67,7.08,5.97,0.0,0.0,0.0,0.0,8.0,7.0,6.0,0.0,False
Sedaap Kecap Manis,PT. BUMI ALAM SEGAR,1 g,70.0,1.0,16.0,0.0,13.0,290.0,0.0,3.26,1.67,4.92,0.0,19.33,0.0,20.0,0.0,5.0,4.0,0.0,0.0,False
Outback steackhouse slow roasted prime rib,Tidak Diketahui,46 g,700.0,46.0,0.0,57.0,0.0,0.0,0.0,32.56,76.67,0.0,85.07,0.0,0.0,0.0,77.0,0.0,33.0,86.0,0.0,True
Es krim Diamond vanilla,PT. Sukanda djaya,2 g,110.0,2.0,12.0,6.0,9.0,0.0,0.0,5.12,3.33,3.69,8.96,0.0,0.0,0.0,0.0,4.0,6.0,9.0,0.0,True
"Genjer, segar",Tidak Diketahui,0.40 g,35.0,1.7,7.7,0.2,0.0,64.0,2.5,1.63,2.83,2.37,0.3,4.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
"Taoge kacang kedelai, segar",Tidak Diketahui,1 g,76.0,9.0,6.4,2.6,0.0,5.0,0.7,3.53,15.0,1.97,3.88,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Renggi Goreng,Tidak Diketahui,0.60 g,471.0,4.7,64.1,21.8,0.0,126.0,6.4,21.91,7.83,19.72,32.54,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Saus Char siu (chinese BBQ),Tidak Diketahui,0 g,60.0,0.0,14.0,0.0,13.0,0.0,0.0,2.79,0.0,4.31,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,False
"Daun kedongdong, segar",Tidak Diketahui,1.80 g,59.0,3.5,13.4,0.3,0.0,12.0,10.7,2.74,5.83,4.12,0.45,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Semur jengkol,Tidak Diketahui,2.20 g,212.0,6.0,29.1,10.0,0.0,0.0,0.0,9.86,10.0,8.95,14.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Chatime taro milk tea,Tidak Diketahui,2 g,399.0,2.0,70.0,12.0,54.5,0.0,0.0,18.56,3.33,21.54,17.91,0.0,0.0,0.0,0.0,22.0,19.0,18.0,0.0,False
Biokul natural set yogurt,PT. Sukanda djaya,5 g,70.0,5.0,10.0,1.0,3.0,0.0,0.0,3.26,8.33,3.08,1.49,0.0,0.0,0.0,9.0,4.0,4.0,0.0,0.0,True
Kambose,Tidak Diketahui,0.70 g,164.0,3.0,32.6,2.4,0.0,0.0,4.3,7.63,5.0,10.03,3.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Sarden ABC saus tomat,PT. ABC Heinz Indonesia,12 g,100.0,12.0,9.0,2.0,2.0,0.0,0.0,4.65,20.0,2.77,2.99,0.0,0.0,0.0,20.0,0.0,5.0,3.0,0.0,False
"Parede baleh, masakan",Tidak Diketahui,1.50 g,87.0,10.5,5.5,2.5,0.0,416.0,0.0,4.05,17.5,1.69,3.73,27.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Nasi gurih,Tidak Diketahui,1.30 g,190.0,4.7,26.0,7.5,0.0,296.0,0.7,8.84,7.83,8.0,11.19,19.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
You C100 Orange water,PT. Djojonegoro,0 g,160.0,0.0,40.0,0.0,40.0,0.0,0.0,7.44,0.0,12.31,0.0,0.0,0.0,0.0,0.0,13.0,8.0,0.0,0.0,False
Diamond Milk Susu UHT Full Cream,PT. Diamond Cold Storage,6 g,120.0,6.0,10.0,6.0,0.0,100.0,0.0,5.58,10.0,3.08,8.96,6.67,0.0,7.0,10.0,0.0,0.0,9.0,0.0,True
Kacang tolo / tunggak,Tidak Diketahui,3.60 g,331.0,24.4,56.6,1.9,0.0,15.0,1.6,15.4,40.67,17.42,2.84,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
"Babi, daging, kurus, segar",Tidak Diketahui,0.90 g,371.0,14.1,0.0,35.0,0.0,97.0,0.0,17.26,23.5,0.0,52.24,6.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Keripik tempe abadi besar,Tidak Diketahui,2.80 g,556.0,15.8,39.8,37.1,0.0,0.0,3.5,25.86,26.33,12.25,55.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Sunduk lawang,Tidak Diketahui,1 g,181.0,1.9,32.4,1.3,0.0,0.0,0.0,8.42,3.17,9.97,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
"Jengkol, segar",Tidak Diketahui,0.90 g,192.0,5.4,40.7,0.3,0.0,60.0,1.5,8.93,9.0,12.52,0.45,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
"Ketan putih, matang",Tidak Diketahui,0.20 g,163.0,3.0,35.7,0.4,0.0,8.0,0.2,7.58,5.0,10.98,0.6,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Susu Ultra Milk Rasa coklat 1000 ml,"PT. Ultrajaya Milk Industry, Tbk",8 g,45.0,8.0,30.0,5.0,24.0,55.0,0.0,9.3,13.33,9.23,7.46,3.67,20.0,0.0,14.0,0.0,10.0,0.0,0.0,False
"Jagung kuning, tepung",Tidak Diketahui,1.20 g,355.0,9.2,73.7,3.9,0.0,11.0,7.2,16.51,15.33,22.68,5.82,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Padamaran,Tidak Diketahui,0.80 g,171.0,3.9,18.8,8.9,0.0,0.0,0.0,7.95,6.5,5.78,13.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
"Beras tumbuk merah, mentah",Tidak Diketahui,1 g,352.0,7.3,76.2,0.9,0.0,10.0,0.8,16.37,12.17,23.45,1.34,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Karawila,Tidak Diketahui,0.30 g,25.0,2.3,3.5,0.2,0.0,8.0,2.1,1.16,3.83,1.08,0.3,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
"Ikan teri nasi, kering, mentah",Tidak Diketahui,32.40 g,144.0,32.5,0.0,0.6,0.0,312.0,0.0,6.7,54.17,0.0,0.9,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Nutrisari Yuzu Orange,PT. Nutrifood Indonesia,0 g,45.0,0.0,10.0,0.0,9.0,20.0,0.0,2.09,0.0,3.08,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
"Sate pusut, masakan",Tidak Diketahui,2.80 g,274.0,12.9,13.6,18.6,0.0,609.0,0.0,12.74,21.5,4.18,27.76,40.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Kue bangen,Tidak Diketahui,2.20 g,442.0,3.3,74.2,14.7,0.0,0.0,0.0,20.56,5.5,22.83,21.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Burger Carl's Jr the big carl,Tidak Diketahui,3 g,920.0,47.0,56.0,58.0,12.0,0.0,3.0,42.79,78.33,17.23,86.57,0.0,0.0,0.0,79.0,0.0,43.0,87.0,0.0,True
Coklat manis batang,Tidak Diketahui,4.10 g,527.0,2.0,62.7,29.8,0.0,6.0,6.5,24.51,3.33,19.29,44.48,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Moon tahu,Tidak Diketahui,0.80 g,128.0,8.0,1.3,10.0,0.0,393.0,0.2,5.95,13.33,0.4,14.93,26.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Bakwan,Tidak Diketahui,2.10 g,280.0,8.2,39.0,10.2,0.0,0.0,3.4,13.02,13.67,12.0,15.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Roti boong,Tidak Diketahui,1 g,341.0,5.5,43.3,16.2,0.0,161.0,0.0,15.86,9.17,13.32,24.18,10.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
nestle honey star sereal,PT. Nestle Indonesia,1 g,110.0,1.0,25.0,1.0,0.0,10.0,0.0,5.12,1.67,7.69,1.49,0.67,0.0,0.0,2.0,8.0,6.0,0.0,0.0,True
Es krim Wall's oreo chocolate,PT. Andrawina Darma Manunggal Mulya,1 g,140.0,2.0,21.0,4.0,15.0,0.0,1.0,6.51,3.33,6.46,5.97,0.0,0.0,0.0,0.0,7.0,7.0,6.0,0.0,False
Minyak hati hiu,Tidak Diketahui,0 g,902.0,0.0,0.0,100.0,0.0,0.0,0.0,41.95,0.0,0.0,149.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Onde-onde,Tidak Diketahui,0.60 g,336.0,4.0,57.9,9.8,0.0,0.0,0.0,15.63,6.67,17.82,14.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Sarimi isi 2 ayam bawang,PT. SARIMI ASLI JAYA,3 g,510.0,13.0,70.0,20.0,3.0,0.0,3.0,23.72,21.67,21.54,29.85,0.0,0.0,0.0,22.0,0.0,24.0,30.0,0.0,True
Mie Kuah Gaga 100 Xtra Pedas  Jalapeno,Tidak Diketahui,9 g,120.0,9.0,43.0,13.0,2.0,1320.0,0.0,15.35,15.0,13.23,19.4,88.0,0.0,88.0,0.0,0.0,16.0,20.0,0.0,False
Kin bulgarian style yogurt strawberry,PT. ABC kogyn dairy,4 g,35.0,4.0,29.0,3.5,27.0,50.0,0.0,7.91,6.67,8.92,5.22,3.33,0.0,0.0,7.0,9.0,8.0,0.0,0.0,False
"Lumai / leunca, segar",Tidak Diketahui,0.50 g,38.0,1.1,7.6,0.3,0.0,2.0,2.0,1.77,1.83,2.34,0.45,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Keripik tempe abadi prima,Tidak Diketahui,2.60 g,540.0,16.7,42.0,33.9,0.0,0.0,2.2,25.12,27.83,12.92,50.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Hokben Chicken karaage,Tidak Diketahui,25 g,340.0,25.0,15.0,20.5,0.0,0.0,0.0,15.81,41.67,4.62,30.6,0.0,0.0,0.0,42.0,0.0,16.0,31.0,0.0,True
Kwaci,Tidak Diketahui,3.70 g,515.0,30.6,13.8,42.1,0.0,124.0,13.6,23.95,51.0,4.25,62.84,8.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Sawo duren,Tidak Diketahui,0.60 g,64.0,1.0,8.0,3.1,0.0,13.0,0.8,2.98,1.67,2.46,4.63,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Subway Turkey breast sandwich,Tidak Diketahui,5 g,280.0,18.0,46.0,3.5,7.0,0.0,5.0,13.02,30.0,14.15,5.22,0.0,0.0,0.0,30.0,15.0,0.0,0.0,17.0,True
Qtela Tempe,PT. Indofood CBP Sukses Makmur Tbk.,4 g,110.0,4.0,8.0,7.0,0.0,0.0,0.0,5.12,6.67,2.46,10.45,0.0,0.0,0.0,7.0,0.0,6.0,11.0,0.0,True
"Telur burung maleo, segar",Tidak Diketahui,0.80 g,436.0,26.5,0.4,36.3,0.0,77.0,0.0,20.28,44.17,0.12,54.18,5.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Marie salut cokelat,PT. KHONG GUAN,1 g,90.0,1.0,13.0,3.5,6.0,35.0,0.0,4.19,1.67,4.0,5.22,2.33,0.0,0.0,0.0,4.0,5.0,6.0,0.0,True
Nabati HANSEL,Tidak Diketahui,2 g,70.0,2.0,7.0,4.0,5.0,30.0,0.0,3.26,3.33,2.15,5.97,2.0,15.0,0.0,4.0,0.0,0.0,6.0,0.0,True
Kacang panjang biji,Tidak Diketahui,0.40 g,357.0,17.3,68.6,1.5,0.0,16.0,10.6,16.6,28.83,21.11,2.24,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Koro roay,Tidak Diketahui,3 g,344.0,12.5,69.4,2.1,0.0,18.0,7.5,16.0,20.83,21.35,3.13,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Bolu peca,Tidak Diketahui,0.90 g,197.0,3.3,35.6,4.6,0.0,0.0,0.0,9.16,5.5,10.95,6.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
air putih / air mineral / air minum,Tidak Diketahui,0 g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Mr. Bread Roti tawar gandum,PT. Mr. Bread Company,2.50 g,199.0,7.0,36.0,3.0,2.0,487.0,2.5,9.26,11.67,11.08,4.48,32.47,0.0,33.0,12.0,12.0,0.0,0.0,0.0,False
"Kacang hijau var. Siwalik, kering",Tidak Diketahui,3.70 g,339.0,20.8,64.6,2.1,0.0,45.0,7.4,15.77,34.67,19.88,3.13,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
"Ikan Lehoma, segar",Tidak Diketahui,1.10 g,90.0,20.4,0.0,0.9,0.0,56.0,0.0,4.19,34.0,0.0,1.34,3.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Wingko babat,Tidak Diketahui,0.70 g,355.0,3.2,51.4,15.1,0.0,0.0,2.4,16.51,5.33,15.82,22.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Permen frozz mint,PT. Konimex,0 g,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True
"Daun kecipir, segar",Tidak Diketahui,1 g,52.0,5.0,8.5,0.5,0.0,6.0,0.0,2.42,8.33,2.62,0.75,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Frisian flag french vanilla low fat,PT. Frisian Flag Indonesia,7 g,110.0,7.0,16.0,2.5,16.0,110.0,0.0,5.12,11.67,4.92,3.73,7.33,0.0,8.0,12.0,0.0,6.0,0.0,0.0,False
Cumi-cumi goreng,Tidak Diketahui,3.10 g,265.0,40.6,0.0,10.1,0.0,86.0,0.0,12.33,67.67,0.0,15.07,5.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Melinjo emping tipis goreng,Tidak Diketahui,1.50 g,485.0,11.5,59.1,24.5,0.0,0.0,0.0,22.56,19.17,18.18,36.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
"Apem, kue",Tidak Diketahui,0.50 g,148.0,2.0,33.9,0.5,0.0,0.0,0.0,6.88,3.33,10.43,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Beef teriyaki,Tidak Diketahui,0.90 g,151.0,8.6,22.3,3.1,0.0,377.0,0.3,7.02,14.33,6.86,4.63,25.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Saori Saus Tiram,Tidak Diketahui,0 g,5.0,0.0,2.0,0.0,0.0,290.0,0.0,0.23,0.0,0.62,0.0,19.33,0.0,20.0,0.0,1.0,1.0,0.0,0.0,False
"Ketan hitam, tapai",Tidak Diketahui,0.60 g,166.0,3.8,34.4,1.0,0.0,5.0,0.3,7.72,6.33,10.58,1.49,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
"Gete kuah asam, masakan",Tidak Diketahui,3.80 g,75.0,8.2,6.0,2.0,0.0,260.0,0.0,3.49,13.67,1.85,2.99,17.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
"Duwet, segar",Tidak Diketahui,0.50 g,80.0,0.5,18.2,0.6,0.0,16.0,0.9,3.72,0.83,5.6,0.9,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Mie Lemonilo ayam bawang,PT. Lemonilo Indonesia Sehat,3 g,267.0,9.0,49.0,4.0,1.0,948.0,3.0,12.42,15.0,15.08,5.97,63.2,0.0,64.0,15.0,16.0,0.0,0.0,0.0,False
"Bouiki ninahu nggaluku, masakan",Tidak Diketahui,5.30 g,94.0,7.8,10.8,2.2,0.0,58.0,0.0,4.37,13.0,3.32,3.28,3.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Coklat pahit batang,Tidak Diketahui,10.10 g,615.0,5.5,29.2,42.6,0.0,20.0,10.8,28.6,9.17,8.98,63.58,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Supermi ayam Bawang,PT. Indofood CBP Sukses Makmur Tbk,4 g,130.0,7.0,46.0,15.0,2.0,1030.0,4.0,15.81,11.67,14.15,22.39,68.67,40.0,69.0,0.0,0.0,0.0,23.0,0.0,False
Coco pops,Tidak Diketahui,1 g,120.0,2.0,26.0,0.5,12.0,0.0,1.0,5.58,3.33,8.0,0.75,0.0,0.0,0.0,4.0,8.0,6.0,0.0,0.0,True
"Buah naga merah, segar",Tidak Diketahui,0.40 g,71.0,1.7,9.1,3.1,0.0,10.0,3.2,3.3,2.83,2.8,4.63,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
"Gulai keumamah, masakan",Tidak Diketahui,1.30 g,110.0,5.9,3.2,8.2,0.0,335.0,0.0,5.12,9.83,0.98,12.24,22.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Ampas tahu kukus,Tidak Diketahui,0.60 g,75.0,4.1,10.7,2.1,0.0,0.0,5.1,3.49,6.83,3.29,3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Cold Stone Creamery chocolate Devotion,Tidak Diketahui,3 g,870.0,13.0,108.0,45.0,91.0,0.0,3.0,40.47,21.67,33.23,67.16,0.0,0.0,0.0,0.0,34.0,41.0,68.0,0.0,False
Lepok / Ubi rumput,Tidak Diketahui,0.90 g,181.0,2.8,39.8,1.2,0.0,116.0,10.7,8.42,4.67,12.25,1.79,7.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
"Rajungan, segar",Tidak Diketahui,2.70 g,76.0,12.1,2.4,2.0,0.0,69.0,0.0,3.53,20.17,0.74,2.99,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Permen mentos peppermint,Tidak Diketahui,0 g,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.23,0.0,0.31,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,True
Pop mie kuah pedes dower,PT. Indofood CBP Sukses Makmur Tbk.,3 g,360.0,6.0,46.0,16.0,4.0,0.0,3.0,16.74,10.0,14.15,23.88,0.0,0.0,0.0,0.0,15.0,17.0,24.0,0.0,True
"Ketimun madura, segar",Tidak Diketahui,0.40 g,9.0,0.5,1.9,0.1,0.0,2.0,0.7,0.42,0.83,0.58,0.15,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Getuk goreng,Tidak Diketahui,1.50 g,360.0,1.3,74.3,6.4,0.0,0.0,0.8,16.74,2.17,22.86,9.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Laksa/Putu mayang,Tidak Diketahui,0.60 g,121.0,1.7,21.1,3.4,0.0,0.0,0.0,5.63,2.83,6.49,5.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Ultramilk law fat source of calcium,"PT. Ultrajaya Milk Industry, Tbk",7 g,90.0,7.0,11.0,2.5,0.0,105.0,0.0,4.19,11.67,3.38,3.73,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Kacang urei,Tidak Diketahui,3.30 g,354.0,12.8,69.3,1.8,0.0,1.0,26.1,16.47,21.33,21.32,2.69,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
"Ganyong, segar",Tidak Diketahui,0.90 g,77.0,0.6,18.4,0.2,0.0,0.0,0.8,3.58,1.0,5.66,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Keju,Tidak Diketahui,5.30 g,326.0,22.8,13.1,20.3,0.0,1410.0,0.0,15.16,38.0,4.03,30.3,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
"Bebek (itik), daging, segar",Tidak Diketahui,1.10 g,321.0,16.0,0.0,28.6,0.0,54.0,0.0,14.93,26.67,0.0,42.69,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Sagu Lemak (Kue Sagon),Tidak Diketahui,0.70 g,452.0,2.8,76.8,14.8,0.0,182.0,1.1,21.02,4.67,23.63,22.09,12.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
"Buah kelenting, segar",Tidak Diketahui,1.20 g,110.0,1.4,21.4,2.1,0.0,2.0,0.0,5.12,2.33,6.58,3.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Masekat,Tidak Diketahui,0.80 g,369.0,2.1,74.1,7.0,0.0,141.0,4.0,17.16,3.5,22.8,10.45,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
"Bakpia, kue",Tidak Diketahui,1.60 g,272.0,8.7,44.1,6.7,0.0,0.0,0.9,12.65,14.5,13.57,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Coklat susu batang,Tidak Diketahui,1.40 g,565.0,9.0,53.6,35.0,0.0,100.0,3.4,26.28,15.0,16.49,52.24,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Es teh manis,Tidak Diketahui,0.02 g,90.0,0.02,23.44,0.0,0.0,0.0,0.0,4.19,0.03,7.21,0.0,0.0,0.0,0.0,1.0,8.0,5.0,0.0,0.0,False
"Cap cai / capcay / cap cay, sayur",Tidak Diketahui,1 g,97.0,5.8,4.2,6.3,0.0,405.0,0.6,4.51,9.67,1.29,9.4,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Keju cheddar,Tidak Diketahui,22.87 g,404.0,22.87,3.09,33.31,0.0,0.0,0.0,18.79,38.12,0.95,49.72,0.0,0.0,0.0,39.0,0.0,19.0,50.0,0.0,True
Sawo kecik,Tidak Diketahui,1.40 g,111.0,0.9,21.6,2.3,0.0,28.0,1.0,5.16,1.5,6.65,3.43,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Keju kraft cheddar,PT. Kraft foods Indonesia,4 g,70.0,4.0,2.0,5.0,0.0,0.0,0.0,3.26,6.67,0.62,7.46,0.0,0.0,0.0,7.0,0.0,4.0,8.0,0.0,True
Starbucks hot caffe mocha (notfat milk),Tidak Diketahui,13 g,250.0,13.0,42.0,2.5,0.0,0.0,0.0,11.63,21.67,12.92,3.73,0.0,0.0,0.0,22.0,13.0,12.0,0.0,0.0,True
Koya,Tidak Diketahui,0.80 g,366.0,4.2,77.5,4.3,0.0,0.0,0.8,17.02,7.0,23.85,6.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Mi golosor,Tidak Diketahui,0.20 g,71.0,0.2,15.9,0.8,0.0,0.0,0.1,3.3,0.33,4.89,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Good day cappuccino,PT. Santos jaya abadi,1 g,170.0,1.0,32.0,3.5,25.0,0.0,1.0,7.91,1.67,9.85,5.22,0.0,0.0,0.0,0.0,10.0,8.0,6.0,0.0,False
"Susu asam untuk bayi, bubuk",Tidak Diketahui,4 g,418.0,19.0,65.5,9.0,0.0,188.0,0.0,19.44,31.67,20.15,13.43,12.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
